entity1,relation,entity2,merged_sentence,label
wxPython,is implemented as,a Python extension module,wxpython is implemented as a python extension module,T
cross-platform GUI library,is written in,C++,cross-platform gui library is written in c++,T
The UILabel class,implements,only text view,the uilabel class implements only text view,T
The UILabel class,provides,support,the uilabel class provides support,T
the label,uses,a shadow,the label uses a shadow,F
the label,draws with,a highlight,the label draws with a highlight,F
The UILabel class,implements,only text view,the uilabel class implements only text view,T
The UILabel class,provides,support,the uilabel class provides support,T
the label,uses,a shadow,the label uses a shadow,F
the label,draws with,a highlight,the label draws with a highlight,F
the view,redraw,The default content mode,the view redraw the default content mode,F
the view,redraw,every time,the view redraw every time,F
New label objects,are configured to,disregard user events,new label objects are configured to disregard user events,T
New label objects,are configured to,clip subviews,new label objects are configured to clip subviews,T
New label objects,are configured to,default,new label objects are configured to default,F
the value,clipsToBounds,property,the value clipstobounds property,F
SELECT statement,returns,a result,select statement returns a result,F
the rows,being sorted by,the values,the rows being sorted by the values,F
SELECT statement,returns,a result,select statement returns a result,F
the rows,being sorted by,the values,the rows being sorted by the values,F
every question,involves,a SQL query,every question involves a sql query,F
a SQL query,contains,clause,a sql query contains clause,F
Bootstrap,provides,dialog element,bootstrap provides dialog element,T
Bootstrap modals,block,the flow,bootstrap modals block the flow,T
Bootstrap,provides,native dialogs,bootstrap provides native dialogs,T
dialog element,can be used to replace,native dialogs,dialog element can be used to replace native dialogs,T
Bootstrap,provides,dialog element,bootstrap provides dialog element,T
Bootstrap modals,block,the flow,bootstrap modals block the flow,T
Bootstrap,provides,native dialogs,bootstrap provides native dialogs,T
dialog element,can be used to replace,native dialogs,dialog element can be used to replace native dialogs,T
Dialogs,can be manually triggered,using Bootstrap,dialogs can be manually triggered using bootstrap,T
Modals,must be triggered on,HTML templates,modals must be triggered on html templates,F
RStudio,includes,highlighting editor,rstudio includes highlighting editor,T
highlighting editor,supports,tools,highlighting editor supports tools,F
highlighting editor,supports,direct code execution,highlighting editor supports direct code execution,F
The RStudio IDE,is based on,ACE Code Editor RStudio,the rstudio ide is based on ace code editor rstudio,T
questions,are suited for,StackOverflow,questions are suited for stackoverflow,F
websites,are easily edited by,multiple users,websites are easily edited by multiple users,T
websites,are easily edited by,multiple users,websites are easily edited by multiple users,T
websites,are easily edited by,large amounts,websites are easily edited by large amounts,T
A report,contains summarized,information,a report contains summarized information,F
Reports,using,reporting tool,reports using reporting tool,T
Reports,using,a hybrid approach,reports using a hybrid approach,T
Reports,can be created entirely from,code,reports can be created entirely from code,T
users,handle,PDF,users handle pdf,F
users,handle,Microsoft Excel,users handle microsoft excel,F
Complicated reports,may require,the use,complicated reports may require the use,F
This file format,installing bundled,components,this file format installing bundled components,F
This file format,installing bundled,the Android operating system,this file format installing bundled the android operating system,F
An apk file extension,denotes,file,an apk file extension denotes file,T
This file format,installing bundled,components,this file format installing bundled components,F
This file format,installing bundled,the Android operating system,this file format installing bundled the android operating system,F
a computer system,performs,the amount,a computer system performs the amount,F
load average,represent,the system load,load average represent the system load,F
load average,represent,minute periods,load average represent minute periods,F
Spring Integration,provides,an extension,spring integration provides an extension,T
Spring Integration,support,Enterprise Integration Patterns,spring integration support enterprise integration patterns,T
Spring Integration,enables,lightweight messaging,spring integration enables lightweight messaging,T
Spring Integration,supports,integration,spring integration supports integration,F
Spring Integration,enables,applications,spring integration enables applications,T
Spring Integration,supports,declarative adapters,spring integration supports declarative adapters,T
declarative adapters,provide,level,declarative adapters provide level,F
Expressions,can consists of,combinations,expressions can consists of combinations,F
languages,have,an expression data type,languages have an expression data type,F
calling eval,will calculate,a result,calling eval will calculate a result,F
Specific releases,are known as,Oracle9i,specific releases are known as oracle9i,F
Specific releases,are known as,Oracle10g,specific releases are known as oracle10g,F
Specific releases,are known as,Oracle 11g,specific releases are known as oracle 11g,F
The software,has undergone,releases,the software has undergone releases,F
oracle10g,covers,the current version,oracle10g covers the current version,F
Questions,tagged with,oracle10g,questions tagged with oracle10g,F
Questions,be additionally tagged,oracle,questions be additionally tagged oracle,F
Questions,be additionally tagged,readership,questions be additionally tagged readership,F
Questions,be tagged,SQL,questions be tagged sql,F
Questions,be tagged,Oracle,questions be tagged oracle,F
Questions,be tagged,plsql,questions be tagged plsql,F
the question,relates to,installation,the question relates to installation,F
the question,relates to,operation,the question relates to operation,F
Android app,can take,advantage,android app can take advantage,F
Android app,can take,Google Play services,android app can take google play services,T
users,receive,updates,users receive updates,F
app,can take,advantage,app can take advantage,F
app,can take,Google Play services,app can take google play services,F
users,receive,updates,users receive updates,F
the data,stored,a provider,the data stored a provider,F
the data,stored,a live source,the data stored a live source,F
a conveyor belt,allows,items,a conveyor belt allows items,F
A stream,can be thought of as,a conveyor belt,a stream can be thought of as a conveyor belt,F
Streams,have,unlimited data,streams have unlimited data,T
Streams,are processed differently from,normal functions,streams are processed differently from normal functions,T
database,modeled after,Google's Bigtable,database modeled after google's bigtable,F
database,is written in,Java,database is written in java,F
HBase,provides,like capabilities,hbase provides like capabilities,T
data storage,provided by,the Google File System,data storage provided by the google file system,T
HBase,provides,File System,hbase provides file system,T
HBase,providing,like capabilities,hbase providing like capabilities,T
HBase,is developed as,part,hbase is developed as part,T
HBase,runs on,HDFS,hbase runs on hdfs,T
Retrofit2,is developed by,Square,retrofit2 is developed by square,T
using ProGuard,add following,following options,using proguard add following following options,F
This Retrofit class,generates,an implementation,this retrofit class generates an implementation,F
Each Call,can make,asynchronous HTTP request,each call can make asynchronous http request,F
Appium,drives,Android apps,appium drives android apps,T
Windows desktop application testing,joins,the functionality list,windows desktop application testing joins the functionality list,F
Windows desktop application testing,joins,Appium 1.6.0 release,windows desktop application testing joins appium 1.6.0 release,F
Appium,provided,helpful functionality,appium provided helpful functionality,T
main purpose,receive,command,main purpose receive command,F
main purpose,execute,client,main purpose execute client,F
executing commands server,return,commands server,executing commands server return commands server,F
The contents,is called,the program's state,the contents is called the program's state,F
The contents,is called,point,the contents is called point,F
The contents,is called,the program's state,the contents is called the program's state,F
The contents,is called,point,the contents is called point,F
Jetty,have reached,End,jetty have reached end,F
Jetty 8.x,have reached,End,jetty 8.x have reached end,F
Jetty 8.x,have reached,open source support,jetty 8.x have reached open source support,T
An architectural approach,are built around,business capabilities,an architectural approach are built around business capabilities,F
a bare mininum,use,different data storage technologies,a bare mininum use different data storage technologies,T
a bare mininum,may be written in,different programming languages,a bare mininum may be written in different programming languages,T
thousands,speak about,microservices,thousands speak about microservices,F
DevExpress,sells,presentation controls,devexpress sells presentation controls,T
programming questions,relate to,programming,programming questions relate to programming,F
programming questions,relate to,debugging,programming questions relate to debugging,F
Windows Phone questions,can be asked on,a mobile operating system,windows phone questions can be asked on a mobile operating system,F
Windows Phone questions,can be asked on,Windows Phone,windows phone questions can be asked on windows phone,F
Focus,indicates,the component,focus indicates the component,F
the graphical user interface,is currently selected to receive,input,the graphical user interface is currently selected to receive input,F
Focus,indicates,the component,focus indicates the component,F
the graphical user interface,is currently selected to receive,input,the graphical user interface is currently selected to receive input,F
the component,has,the focus,the component has the focus,F
the focus,is withdrawn from,an element,the focus is withdrawn from an element,F
The concept,is similar to,a cursor,the concept is similar to a cursor,F
a component,can receive,focus,a component can receive focus,F
the focus,be changed by clicking,a component,the focus be changed by clicking a component,F
a component,can receive,a mouse cursor,a component can receive a mouse cursor,F
Many desktops,allow,the focus,many desktops allow the focus,F
the tab key,is used to move,convention,the tab key is used to move convention,T
the tab key,is used to move,the focus,the tab key is used to move the focus,F
many computers,did not have,mice,many computers did not have mice,F
people,have,a hard time,people have a hard time,F
the arrow keys,be used to move,certain circumstances,the arrow keys be used to move certain circumstances,F
the arrow keys,be used to move,focus,the arrow keys be used to move focus,F
language,used for,side scripting,language used for side scripting,F
language,used for,web browsers,language used for web browsers,F
JavaScript,be run outside of,the use,javascript be run outside of the use,F
JavaScript,be run outside of,the browser,javascript be run outside of the browser,T
answer,is expected for,questions,answer is expected for questions,F
JavaScript,runs on,every operating system,javascript runs on every operating system,T
an engine,is included in,mainstream web browsers,an engine is included in mainstream web browsers,F
The Mozilla Developer Network,contains,quality documentation,the mozilla developer network contains quality documentation,T
JavaScript,Cascading,Cascading Style Sheets,javascript cascading cascading style sheets,T
The Mozilla Developer Network,is also used in,addition,the mozilla developer network is also used in addition,F
The Mozilla Developer Network,is also used in,environments,the mozilla developer network is also used in environments,T
the language,was officially called,LiveScript,the language was officially called livescript,F
The Mozilla Developer Network,was developed under,the name Mocha,the mozilla developer network was developed under the name mocha,T
the language,shipped in,September,the language shipped in september,F
the language,shipped in,beta releases,the language shipped in beta releases,F
the language,was deployed in,the Netscape browser version 2.0B3,the language was deployed in the netscape browser version 2.0b3,F
Netscape adding support,adding,Netscape adding support,netscape adding support adding netscape adding support,F
Netscape adding support,adding,Netscape Netscape Netscape Navigator 2.0 web browser,netscape adding support adding netscape netscape netscape navigator 2.0 web browser,F
The final choice,caused,name caused confusion,the final choice caused name caused confusion,F
The final choice,giving,the impression,the final choice giving the impression,F
the choice,has been characterized as,a marketing ploy,the choice has been characterized as a marketing ploy,F
the term,originated from,Netscape,the term originated from netscape,F
ECMAScript,was developed as,a standardization,ecmascript was developed as a standardization,F
ECMAScript,was developed as,a standardization,ecmascript was developed as a standardization,F
people,do not distinguish,JScript variations,people do not distinguish jscript variations,F
modern browsers,implement,JavaScript,modern browsers implement javascript,T
browsers,implement,the ECMAScript 3 specification,browsers implement the ecmascript 3 specification,F
the ECMAScript 3 specification,does not contain,functions,the ecmascript 3 specification does not contain functions,F
JavaScript,provide,the potential,javascript provide the potential,F
the DOM,provide,the potential,the dom provide the potential,F
malicious authors,deliver,scripts,malicious authors deliver scripts,F
Browser authors,contain,this risk using two restrictions,browser authors contain this risk using two restrictions,F
scripts,perform,actions,scripts perform actions,F
scripts,run in,a sandbox,scripts run in a sandbox,T
scripts,perform,a sandbox,scripts perform a sandbox,F
scripts,are constrained by,origin policy,scripts are constrained by origin policy,F
access,sent to,another site,access sent to another site,F
code,is executed on,a Web page,code is executed on a web page,F
this tag,used in,conjunction,this tag used in conjunction,F
Java,has,level facilities,java has level facilities,F
The Java language,derives much of,C,the java language derives much of c,T
The Java language,derives much of,C++,the java language derives much of c++,T
Java applications,are typically compiled to,bytecode,java applications are typically compiled to bytecode,T
The JVM,compiles,code,the jvm compiles code,T
The JVM,optimize,performance,the jvm optimize performance,T
The JVM,manages,memory,the jvm manages memory,T
The JVM,manages,the help,the jvm manages the help,F
The JVM,see,collection,the jvm see collection,F
Java,supports,features,java supports features,F
Java,supports,Native Interface,java supports native interface,T
code,executes on,one platform,code executes on one platform,F
Java,is designed to have,few implementation dependencies,java is designed to have few implementation dependencies,T
Java,was originally developed by,James Gosling,java was originally developed by james gosling,T
Java,was originally developed by,Sun Microsystems,java was originally developed by sun microsystems,T
Sun Microsystems,merged with,Oracle Corporation,sun microsystems merged with oracle corporation,T
Sun Microsystems,merged with,January 27th,sun microsystems merged with january 27th,F
Java,was released in,a core component,java was released in a core component,T
Java,was started as,a project,java was started as a project,T
Java,was started as,June,java was started as june,F
computing systems,have installed,tools,computing systems have installed tools,F
computing systems,have installed,running Java programs,computing systems have installed running java programs,T
The Java platform,features,a wide variety,the java platform features a wide variety,F
developers,work efficiently with,the Java programming language,developers work efficiently with the java programming language,F
The main reference implementation,is supported by,major companies including Oracle,the main reference implementation is supported by major companies including oracle,F
few computers,can run,Java programs,few computers can run java programs,F
Java apps,own,installers,java apps own installers,F
Java,is compiled into,bytecode,java is compiled into bytecode,T
bytecode,is then compiled by,native machine code,bytecode is then compiled by native machine code,T
bytecode,is then compiled by,the JVM,bytecode is then compiled by the jvm,T
native code,compiled to target,version,native code compiled to target version,F
Java,can be compiled,Java,java can be compiled java,F
Java SE,will be released,every six months,java se will be released every six months,T
java code,need,a java installer package supplier,java code need a java installer package supplier,T
a supplier,will take,care,a supplier will take care,F
Java,comes in,LTS,java comes in lts,T
Java,comes in,non-LTS versions,java comes in non-lts versions,T
suppliers,release,all versions,suppliers release all versions,F
all versions,will support,LTS versions,all versions will support lts versions,F
The End,dates for,available distribution,the end dates for available distribution,F
Java programs,should adhere to,the following naming conventions,java programs should adhere to the following naming conventions,F
Java programs,increase,readability,java programs increase readability,T
Java programs,decrease,the chances,java programs decrease the chances,F
others,understand,code,others understand code,F
Java source code,is compiled to,an intermediate form,java source code is compiled to an intermediate form,T
an intermediate form,can be executed with,the java command,an intermediate form can be executed with the java command,T
People,ask about,the following Java topics,people ask about the following java topics,F
Python,incorporates,dynamic data types,python incorporates dynamic data types,T
Python,incorporates,modules,python incorporates modules,T
Python,incorporates,classes,python incorporates classes,T
Python,incorporates,exceptions,python incorporates exceptions,T
Python,incorporates,dynamic typing,python incorporates dynamic typing,T
Python,combines,remarkable power,python combines remarkable power,T
Python,combines,clear syntax,python combines clear syntax,T
Python,has interfaces to,many system calls,python has interfaces to many system calls,T
Python,has interfaces to,libraries,python has interfaces to libraries,T
Python,has interfaces to,various window systems,python has interfaces to various window systems,T
Python,has interfaces to,many system calls,python has interfaces to many system calls,T
Python,has interfaces to,libraries,python has interfaces to libraries,T
Python,has interfaces to,various window systems,python has interfaces to various window systems,T
Python,is extensible in,c,python is extensible in c,T
Python,is extensible in,c++,python is extensible in c++,T
applications,need,a programmable interface,applications need a programmable interface,F
Python,is also usable as,an extension language,python is also usable as an extension language,T
Python,runs on,the Mac,python runs on the mac,F
Python,runs on,many Unix variants,python runs on many unix variants,T
a large standard library,covers,areas,a large standard library covers areas,F
The language,comes with,a large standard library,the language comes with a large standard library,F
The Python Standard Library,get,an idea,the python standard library get an idea,F
Python,allows,programmers,python allows programmers,F
Python,express,concepts,python express concepts,F
Python,has,constructs,python has constructs,F
Python,was originally created by,Guido van Rossum,python was originally created by guido van rossum,T
Guido van Rossum chose Python,chose,Guido van Rossum chose Python,guido van rossum chose python chose guido van rossum chose python,F
Guido van Rossum chose Python,chose,a working title,guido van rossum chose python chose a working title,F
a question,relates to,a specific version,a question relates to a specific version,F
Python,supports,multiple programming paradigms,python supports multiple programming paradigms,T
Python,features,dynamic type system,python features dynamic type system,T
Python,features,automatic memory management,python features automatic memory management,T
Python,is often used as,other dynamic languages,python is often used as other dynamic languages,T
Python,is often used as,a scripting language,python is often used as a scripting language,T
Python,is also used in,a wide range,python is also used in a wide range,F
party tools,can be packaged into,standalone executable programs,party tools can be packaged into standalone executable programs,F
Python interpreters,are available for,many operating systems,python interpreters are available for many operating systems,T
source software,has,development model,source software has development model,F
a wide variety,see,Python implementations,a wide variety see python implementations,F
The philosophy,is succinctly formulated in,The Zen,the philosophy is succinctly formulated in the zen,F
Python,uses,syntax,python uses syntax,F
Python,uses,many other languages,python uses many other languages,F
Python,comes with,a basic IDE called IDLE,python comes with a basic ide called idle,T
question,includes,issues,question includes issues,F
question,use,python,question use python,F
question,use,python-3.x,question use python-3.x,F
many beginners,face,canonical duplicate targets,many beginners face canonical duplicate targets,F
many beginners,face,the common questions,many beginners face the common questions,F
distributions,come with,pip,distributions come with pip,F
easy_install,was released in,part,easy_install was released in part,F
easy_install,installing,installing dependencies,easy_install installing installing dependencies,T
easy_install,was notable at,the time,easy_install was notable at the time,T
A simple Python library,is meant to simplify,many methods,a simple python library is meant to simplify many methods,F
connection,pooling are automatically handled to provide,ultimate simplicity,connection pooling are automatically handled to provide ultimate simplicity,F
A simple Python library,uses,C APIs,a simple python library uses c apis,T
an easy Python interface,modify,image files,an easy python interface modify image files,F
an easy Python interface,modify,many different ways,an easy python interface modify many different ways,F
A simple Python library,provide,an easy Python interface,a simple python library provide an easy python interface,F
websites,structured,data,websites structured data,F
extract,structured,data,extract structured data,F
websites,structured,websites pages,websites structured websites pages,F
extract,structured,websites pages,extract structured websites pages,F
web scraping framework,structured,data,web scraping framework structured data,F
Scrapy,can be used for,testing,scrapy can be used for testing,T
Scrapy,can be used for,a wide range,scrapy can be used for a wide range,F
Scrapy,can be used for,data mining,scrapy can be used for data mining,T
Beautiful Soup,creates,tree,beautiful soup creates tree,F
tree,can be used to extract,parsed pages,tree can be used to extract parsed pages,F
tree,can be used to extract,data,tree can be used to extract data,F
Beautiful Soup,is available for,Python,beautiful soup is available for python,T
Beautiful Soup,is available for,Python,beautiful soup is available for python,T
building Python applications,work with,human language data,building python applications work with human language data,F
building Python applications,work with,the processing,building python applications work with the processing,F
building Python applications,work with,human language data,building python applications work with human language data,F
building Python applications,work with,the processing,building python applications work with the processing,F
question,has,anything,question has anything,F
level Python Web framework,encourages,pragmatic design,level python web framework encourages pragmatic design,F
level Python Web framework,encourages,rapid development,level python web framework encourages rapid development,F
Flask,provides,monolithic structure,flask provides monolithic structure,T
Flask,does not enforce,dependencies,flask does not enforce dependencies,T
dependencies,allows for,freedom,dependencies allows for freedom,F
dependencies,allows for,control,dependencies allows for control,F
other applications,require,lived connection,other applications require lived connection,F
Tornado,can scale to,open connections,tornado can scale to open connections,T
web framework,enables,developers,web framework enables developers,F
web framework,build,web applications,web framework build web applications,T
source code,is developed in,time,source code is developed in time,F
A lightweight web framework,combines,ideas,a lightweight web framework combines ideas,F
the emerging WSGI standard,allows,extensive re-use,the emerging wsgi standard allows extensive re-use,T
the emerging WSGI standard,allows,flexibility,the emerging wsgi standard allows flexibility,F
TurboGears,was created in,Kevin Dangoor,turbogears was created in kevin dangoor,T
the current development,is being led by,Mark Ramm,the current development is being led by mark ramm,F
The bottle,has,no dependencies,the bottle has no dependencies,F
The bottle,is distributed as,a single file module,the bottle is distributed as a single file module,F
Falcon,encourages,architectural style,falcon encourages architectural style,T
Kivy,supports,multiple platforms,kivy supports multiple platforms,T
Kivy,comes with over,20 widgets,kivy comes with over 20 widgets,T
Additional Material Objects,are available via,KivyMD,additional material objects are available via kivymd,F
PyQT,is available for,Sharp Zaurus,pyqt is available for sharp zaurus,T
PyQT,is available for,Linux,pyqt is available for linux,T
PyQT,is available for,Windows,pyqt is available for windows,T
PyQT,is available for,Mac OS X,pyqt is available for mac os x,T
some features,be available in,the free version,some features be available in the free version,F
Tkinter,using,using Tk,tkinter using using tk,F
Tkinter,is commonly bundled with,Python,tkinter is commonly bundled with python,T
Tkinter,is popular for,Tkinter simplicity,tkinter is popular for tkinter simplicity,F
Tkinter,is popular for,graphical user interface,tkinter is popular for graphical user interface,T
many users,can help,questions,many users can help questions,F
inserts,displays,the natural GUI,inserts displays the natural gui,F
little code,displays,the natural GUI,little code displays the natural gui,F
NumPy,contains among,other things,numpy contains among other things,F
SciPy,includes,algorithms,scipy includes algorithms,T
SciPy,includes,tools,scipy includes tools,T
SciPy,is closely related to,NumPy,scipy is closely related to numpy,T
SciPy,depends on,many NumPy functions,scipy depends on many numpy functions,T
a multidimensional array,is used as,the basic data structure,a multidimensional array is used as the basic data structure,F
a multidimensional array,is used as,SciPy,a multidimensional array is used as scipy,F
matplotlib,provides,API,matplotlib provides api,T
matplotlib,provides,applications,matplotlib provides applications,T
Pandas,integrates,matplotlib's plotting capabilities,pandas integrates matplotlib's plotting capabilities,T
Pandas,integrates,many other libraries' features,pandas integrates many other libraries' features,T
Pandas,integrates,NumPy's matrix operations,pandas integrates numpy's matrix operations,T
Theano,does on,the interface Python code making Theano,theano does on the interface python code making theano,F
the interface Python code making Theano,optimized using,routines,the interface python code making theano optimized using routines,F
Theano,features,automatic differentiation,theano features automatic differentiation,T
Blender,supports,the entirety,blender supports the entirety,F
source machine learning library,written in,Python,source machine learning library written in python,F
Theano,supports,training,theano supports training,T
Theano,supports,testing,theano supports testing,T
question,has,anything,question has anything,F
a Python package,wraps,C,a python package wraps c,F
Cython,makes,writing C extensions,cython makes writing c extensions,T
The original PHP project,invented by,Rasmus Lerdorf,the original php project invented by rasmus lerdorf,T
The original PHP project,stands for,Today,the original php project stands for today,F
The original PHP project,stands for,the recursive acronym PHP,the original php project stands for the recursive acronym php,F
stable release,can be found on,the PHP website,stable release can be found on the php website,F
development changes,can be found on,the PHP website,development changes can be found on the php website,F
development branches,can be found on,the PHP website,development branches can be found on the php website,F
the source code,is available at,PHP's GitHub repository,the source code is available at php's github repository,F
any other Linux PHP,provides,web server,any other linux php provides web server,F
these applications,include,other components,these applications include other components,F
web server,can be started using,the following command,web server can be started using the following command,F
the server,will listen on,port,the server will listen on port,F
3v4l,act like,jsfiddle,3v4l act like jsfiddle,T
PHP Sandbox,act like,jsfiddle,php sandbox act like jsfiddle,T
codepad,act like,jsfiddle,codepad act like jsfiddle,T
all relevant code,be included in,question,all relevant code be included in question,F
all relevant code,be included in,answer,all relevant code be included in answer,F
All versions,have been announced,end,all versions have been announced end,F
PHP,installed on,machine,php installed on machine,F
The PEAR repository,contains,classes,the pear repository contains classes,T
The PEAR repository,is also possible to download,the documentation,the pear repository is also possible to download the documentation,T
the PHP Framework Interop Group,has created,sets,the php framework interop group has created sets,F
PHP,supports,a wide range,php supports a wide range,F
PHP,is often paired with,relational database,php is often paired with relational database,T
PHP,includes,great database support,php includes great database support,T
All modern versions,include,PDO,all modern versions include pdo,F
PECL extensions,offer,NoSQL,pecl extensions offer nosql,T
database support,have surfaced,including Apache Thrift,database support have surfaced including apache thrift,F
database support,have surfaced,MongoDB,database support have surfaced mongodb,F
database support,have surfaced,Redis,database support have surfaced redis,F
database support,have surfaced,others,database support have surfaced others,F
party contributions,are,the vast functionality,party contributions are the vast functionality,F
a package management tool,inspired by,npm,a package management tool inspired by npm,F
a package management tool,inspired by,Ruby,a package management tool inspired by ruby,F
project dependencies,be specified in,a JSON file,project dependencies be specified in a json file,F
Composer,uses,packages,composer uses packages,F
Composer,uses,Packagist,composer uses packagist,F
Packagist,is rapidly growing to contain,popular PHP libraries,packagist is rapidly growing to contain popular php libraries,F
Packagist,contain many of,popular PHP libraries,packagist contain many of popular php libraries,T
Software,downloaded with,Composer,software downloaded with composer,F
a number,have been proposed,the PHP Framework Interop Group,a number have been proposed the php framework interop group,F
a number,have been proposed,the PHP Framework Interop Group,a number have been proposed the php framework interop group,F
coding standards,are known as,the PHP Standards Recommendations,coding standards are known as the php standards recommendations,F
status,can be found on,FIG Recommendations page,status can be found on fig recommendations page,F
status,can be found on,the PHP Standards Recommendations,status can be found on the php standards recommendations,F
Android,is based on,version,android is based on version,F
Android,is designed primarily for,mobile devices,android is designed primarily for mobile devices,T
Google,has further developed,Android TV,google has further developed android tv,T
Google,Wear,OS,google wear os,F
Google,has further developed,addition,google has further developed addition,F
Google,has further developed,televisions,google has further developed televisions,T
Google,Wear,wrist watches,google wear wrist watches,F
Variants,are also used on,other electronics,variants are also used on other electronics,F
Variants,are also used on,game,variants are also used on game,F
Variants,are also used on,digital cameras,variants are also used on digital cameras,F
Variants,are also used on,PCs,variants are also used on pcs,F
app,has stopped,problem,app has stopped problem,F
app,has stopped,app,app has stopped app,F
app,has stopped,any other exception,app has stopped any other exception,F
specific tags,are used for,developer assistance,specific tags are used for developer assistance,F
specific tags,are meant for,libraries,specific tags are meant for libraries,F
butterknife otto picassogreendao Android Developers,Contains,the SDK downloads,butterknife otto picassogreendao android developers contains the sdk downloads,T
